id,type,product_name,is_public,slug,percent_complete,star_rating,title,love,hate,verified_current_user,is_business_partner,review_source,votes_up,votes_down,votes_total,user_id,user_name,user_image_url,country_name,regions,submitted_at,updated_at,moderated_at,product_id,reference_user_consent
18532,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-18532,0.9545454545454546,4.5,G2 helps market and customer validity,G2 has helped our customers publicly validate us to prospects and has helped us build pipeline and be considered for opportunities where we likely would not have been found otherwise. Also it has aided as a great validation point for customers in meetings and demo's as to our market profile and position.  It has helped us need less reference calls and enabled our customers to have a more open and valid place to voice their opinion on us.,Not a lot to dislike.  Be great as G2 becomes more recognised by a wider audience and gives the Gartners a run for their money. ,False,False,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",1,0,1,6118c789-70c2-4b0d-87b4-e147de083f6f,Ian Moyse ☑,https://media-exp1.licdn.com/dms/image/C4D03AQEB0w20dINt2w/profile-displayphoto-shrink_100_100/0/1618741141941?e=1643241600&v=beta&t=6LP_rZ1XaX0sMx35XSsF8SNY7sLIdrjeApwCtuePXNA,United Kingdom,Unknown,2013-12-06T08:51:22.236-06:00,2013-12-06T08:51:22.236-06:00,,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
67896,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-67896,0.9230769230769231,4.5,Recommended for gaining visibility in B2B Marketing efforts ,"It showcases a wide range of vendors with unbiased and helpful reviews for evaluating solutions within your organization. This helps companies accelerate their marketing efforts and sales cycles when shared effectively. 

The smart grid is also a really great way to show how your company is perceived in the market place.

Quarterly reports are very detailed and are helpful overviews for companies trying to evaluate vendors. ","There aren't enough people open to reviewing products without an incentive. I still think that reviewers are honest and unbiased, but the volume is still much lower than you'd expect. 

It is costly, but we saw an ROI within weeks of launching our paid subscription with closing a relatively large deal through a lead that came in via G2Crowd. ",False,True,Invitation from G2. This reviewer was offered a nominal gift card as thank you for completing this review.,0,0,0,ecf99a0c-5438-463f-afc1-24f1511b2a62,Dakota McKenzie,https://images.g2crowd.com/uploads/avatar/image/587484/thumb_square_9507df9ec1b62fd92e567637b73d20dc.jpeg,United States,Unknown,2015-10-26T10:55:33.637-05:00,2015-10-26T10:55:34.284-05:00,,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
177131,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-177131,0.42857142857142855,4.5,Credibility,"Great way to build our brand in a new space, by leveraging user success. Also, Alex Pike did a great job of helping us understand the value of the platform when we first started.","So far so good, we are just starting to use additional features like the LinkedIn integration so can't evaluate that yet",False,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,18c7b72b-467b-4119-9be9-0e0486ee35e4,Paul McGhee,https://images.g2crowd.com/uploads/avatar/image/321856/thumb_square_3afbacd056aa0bf9ccd0a74f93b3f247.jpeg,United States,Unknown,2016-10-06T14:50:59.131-05:00,2016-10-06T14:50:59.164-05:00,2016-10-08T14:32:11.744-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
179859,survey_responses,G2 Marketing Solutions,False,g2-marketing-solutions-review-179859,1.0,5.0,Advocately have been instrumental to our review strategy,The end to end service and process has been the highlight to my experience. Advocately has ensured our success by assisting us with implementing our review campaigns. They've consistently optimised our process to achieve our goals.,There is little that I dislike. Understanding exactly what each of the features means and the flow between them has been my only slight hindrance. ,True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,,Verified User in Information Services,icons/anonymous-avatar-purple.svg,,Unknown,2016-10-18T05:13:52.950-05:00,2016-10-18T05:13:52.977-05:00,2016-10-18T09:08:20.958-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
179888,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-179888,1.0,5.0,Game Changer,"Advocately facilitates a continuous flow of great reviews of your product or service on the top review sites across the web. We have had excellent service and it is clear that Advocately is committed to getting the best results for their clients. They have a vision for this space that I have not seen before, and it is a welcome innovation. ","This is not a true dislike, but the success of Advocately for us depends on at least one other integrated service, which we fortunately already had in place.",True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,dfeaf03d-0470-4133-8277-e278765e0b5d,Patrick Edmonds,https://media-exp1.licdn.com/dms/image/C5603AQFiT4x6FlvKRg/profile-displayphoto-shrink_100_100/0/1584986400822?e=1665619200&v=beta&t=kvZYte8IWiv7pmQtw0PFksBLFarPOTRy5SrMQLUnjOU,Canada,Unknown,2016-10-18T09:32:37.908-05:00,2016-10-18T09:32:37.933-05:00,2016-10-18T09:51:51.791-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
182325,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-182325,0.9117647058823529,5.0,Effortless review fetching,It works exactly as intended. Promoters get pro-active outreach for review requests in a way that is not over-the-top. The team at advocately have made themselves available at every step in the onboarding journey as well. Great service,"Not much at this point, we just need to figure out how best to integrate it into our other systems, particularly for our Customer Success team to follow up on the passive and detractor comments. No doubt I'll get the help I'm looking for.",True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,cc915e3a-9870-4c89-b6c5-62a07371d0ba,Tom Maxwell,https://media.licdn.com/mpr/mprx/0_dtjoYm_KFtSLKo-3InUzYDz-51Rwt2P3IPdvYDX3s9fsSekT5ND6rSKfwgUvAItDHl0qlE9LmHpK,Canada,Unknown,2016-10-20T14:04:27.179-05:00,2016-10-20T14:04:27.212-05:00,2016-10-22T11:54:20.497-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
182489,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-182489,0.6486486486486487,5.0,Great idea and good time saver,We were previously using engagement as a criteria for requesting a review (which we were doing manually). The blend of using NPS along with the automation Advocately provides means we are getting a higher volume of higher quality reviews for less work.,Very little. The product is currently quite feature-light but the future is bright and loads of potential.,False,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,73bacb5b-f039-4a37-bea9-5e1fc9c0f90c,Ewan McCowen,https://lh3.googleusercontent.com/a-/AOh14GhZJJByfx08RN9E7a0QD-nBZ0f3ISX65CRtBqU-8A=s96-c,United States,Unknown,2016-11-14T05:42:06.127-06:00,2016-11-14T05:42:06.169-06:00,2016-11-15T17:20:49.744-06:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
183103,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-183103,0.9090909090909091,5.0,"Automate your reviews, saves you tons of time, highly recommend!","Getting reviews is an integral part of any (online) business these days but the process can be very time consuming and hard. With Advocately the entire process is automated which is a huge work load lifted. After the initial setup you just let the system do the work for you, the support is great and the product works like a charm. I can highly recommend Advocately to anyone who relies on reviews! ","Hard to come up with anything I dislike, if pressed I would say that it would be good to have a simple explainer video of 1 minute which would quickly show the value and functionality - in the beginning it is a bit hard to understand exactly what Advocately does :-) ",True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,16343408-1383-4024-81c4-d14b78c8e397,Andre Weyher,https://media.licdn.com/mpr/mprx/0_V24ZqXRWWFW36moyNEIFqQDXI8auoDUy4m2FqQEzq5VgzWupnoHNs6ORLamtWosKRfVQR3ZtPLkv,Australia,Unknown,2016-10-23T18:31:02.856-05:00,2016-10-23T18:31:02.896-05:00,2016-10-26T17:48:32.857-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
183130,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-183130,0.3076923076923077,5.0,I am an advocate for Advocately!,We are getting our promoters to write reviews online and refer their friends at an extremely high rate!  We can link the results from this back to revenue.,Nothing right now.  I'm excited to see how the Advocately platform develops.,True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,e78fe34b-f4f7-4e8c-b216-ddd2fce340b7,Sareena Baldhiraj,https://media.licdn.com/mpr/mprx/0_5fq3To2etJ4JWBKV5D1-Tea5KRfVwl3VIwhYTeDn7ORINz9sddXDfHMZYv7XHnh9k290mfxZJ5MT,Singapore,Unknown,2016-11-03T01:39:43.057-05:00,2016-11-03T01:39:43.094-05:00,2016-11-05T18:17:24.349-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
184048,survey_responses,G2 Marketing Solutions,False,g2-marketing-solutions-review-184048,0.4583333333333333,4.5,NPS and more!,Advocately helped us reach out to our top promoters and helped build out our reviews across our different platforms.,"Advocately is still a very early product - not a ton on reporting yet, but we're excited to see where they're headed",False,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,,Verified User in Education Management,icons/anonymous-avatar-teal.svg,,Unknown,2016-10-27T04:12:06.756-05:00,2016-10-27T04:12:06.793-05:00,2016-10-29T18:17:08.599-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
184054,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-184054,0.5675675675675675,5.0,Empowering our reviews and ,"Being in Customer Success, it is extremely important to know how your customers feel about your product and service and getting constant feedback is absolutely necessary. With Advocately, we get an all-in-one platform that gives us the data we need to help us engage better with our clients.",I really can't think of anything right now.,True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,2883bc6e-b639-4e35-8fb0-06bf7389d662,Joe Daniel,https://media.licdn.com/mpr/mprx/0_lxZqPrCkH1QA2fbPAOOFPtC5ePPY2u6P1ZuwPP3zBKbm1HA1jMe4j1vRQR1T7wFxKysoyqPWfTpQ,India,Unknown,2016-10-25T03:51:31.597-05:00,2016-10-25T03:51:31.624-05:00,2016-10-26T17:50:13.457-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
188630,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-188630,0.8260869565217391,5.0,A great tie in with net promoters,Advocately helps us to automate the process of reaching out to get reviews from customers that love our product. Another feature I like is the ability to explore which users are our net promoters. This is much potential to continuously refine our market segments using this tool.,There isn't anything I dislike at the moment. The product solves one problem and solves it well. Having such focus is a breathe of fresh air from other products that try to do too many things but do them poorly.,True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,37a892da-06ac-4a79-8659-af4b31f3a22c,Lucas Neo,https://media.licdn.com/mpr/mprx/0_7BV1hxFO9u751vgEEPGtIw909uqZv6A666CgLoi0rfXJv9uQ6Bm1DMS0zJZJv9-Q_BhOaHCxxEeM9GiQ6X0fHwfPVEe49GHo6X0riEVYAwgNpq1nEvWY_Oq7s0tHxGxR7bU0kq2YpE9,Singapore,Unknown,2016-11-01T20:51:46.587-05:00,2017-02-09T06:24:35.890-06:00,2016-11-06T04:11:52.538-06:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
188638,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-188638,0.8181818181818182,5.0,Successful NPS Campaign!,"Advocately has provided us on the best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry. 

They identified what works best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there.","Advocately ihas been working with us with a Tailor Made Approach to our NPS Campaign, and this is not something which is readily available.

Most NPS Products in the market are just products with limited advisory on best practices, organizations will need to invest time to find the best way to implement their campaigns successfully. 

What Advocately can bring in the future to their clients, are stellar examples of NPS campaigns execution.",True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,e42e5a14-d2c8-497c-b67d-34edd1b248ab,Muhammad Syafiq,https://media.licdn.com/mpr/mprx/0_7Hn2y7d4YLKL5FBSo2mGq4_4sii46cdj5MaCVVN4sCIM_FRl2OhSAOuJgQgL5FoK8Mm3tgfMBi3Jh1OD6UPrNUCv-i3Zh1xghUPfxsBZJGqqoLk3uoLT0aMWtnReW1HuW4ch4kM2e5F,Singapore,Unknown,2016-11-01T04:41:58.291-05:00,2016-11-01T04:41:58.327-05:00,2016-11-06T03:41:07.876-06:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
190023,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-190023,0.8636363636363636,5.0,"Awesome product, easy to use, great service and an amazing idea! ","Advocate.ly is extremely easy to use. Patrick was very helpful in setting us up on the platform. The integration and set up was quick, templates were provided to get the best result. Everything is engineered for our success, i am very happy with the platform. ",I've not yet found anything i dislike about advocate.ly.,False,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,d9831958-2956-49b4-b609-80079e754e5e,Angus Gill,https://images.g2crowd.com/uploads/avatar/image/395926/thumb_square_57f449a0afee66bb33a3b08b76a93dc8.jpeg,Australia,Unknown,2016-11-01T23:25:52.239-05:00,2016-11-01T23:25:52.268-05:00,2016-11-05T18:17:36.113-05:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
199474,survey_responses,G2 Marketing Solutions,True,g2-marketing-solutions-review-199474,0.8636363636363636,5.0,Advocately has made creating an advocate marketing program a breeze.,"As a Community Manager I am responsible for crafting and executing our advocate program. Perhaps the most challenging aspect of creating an advocate program is finding the advocates. Advocately has eliminated challenge. The advocates, through Advocately, came to me! Not only do I now have a growing list of advocates, but I am able to see exactly what they love about our software. This enables me to push feedback to the marketing, development, and customer success teams so that we can enhance what people love.

Aside from the actual product, Patrick and Lachlan are amazing. Support, response times, and personality are all 10/10. You guys rock!","There is nothing to dislike. As Advocately is relatively new, the features will continue to grow with the feedback of users. ",True,True,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.",0,0,0,3616363a-966d-45a7-be33-4e53a9592334,Elizabeth Cook,https://media.licdn.com/mpr/mprx/0_tMLOJ8wNzzSA8rYyjMlrlcAN9LA2Ql7llgPOxNONnL7SiT-SUHPrBt5NKcaK8r_DRHjY-LEqst8DLvwrjohGANw40t8uLvnjjohjVvYzqPvhf_STlUnPs3KXxFsyuv32NWk-gwVNRUO,Canada,Unknown,2016-11-24T14:29:13.247-06:00,2016-11-24T14:29:13.280-06:00,2016-11-27T04:25:58.909-06:00,a7d324a4-06eb-4be2-ad8e-65938bce5fd5,unanswered
